Produkt Name #1;Produkt Name #2;Produkt Name #3;Produkt Name #4;Produkt Name #5;Produkt Name #6;Produkt Name #7;Produkt Name #8;Bestell ID;Shipping Postcode;Shipping City;Customer ID
Bio Obst (ca. 5Kg) 8-10 Sorten mit Exoten;Bio Gemüsekiste(ca. 5Kg);;;;;;;41250;51147;Köln;25
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;41526;50827;Köln;26
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;27868;50677;Köln;27
Bio Gemüsekiste(ca. 5Kg);;;;;;;;42562;51145;Köln;28
Bio Gemüsekiste(ca. 5Kg);;;;;;;;43770;51145;Köln;28
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;41643;51063;Köln;29
Bio Gemüsekiste(ca. 5Kg);;;;;;;;34225;51069;Köln;30
Bio Gemüsekiste(ca. 5Kg);Bio Obst (ca. 5Kg) 8-10 Sorten mit Exoten;;;;;;;34877;51069;Köln;30
Bio Gemüsekiste(ca. 5Kg);Bio Obst (ca. 5Kg) 8-10 Sorten mit Exoten;;;;;;;35768;51069;Köln;30
Bio Gemüsekiste(ca. 5Kg);Bio Obst (ca. 5Kg) 8-10 Sorten mit Exoten;;;;;;;37647;51069;Köln;30
Bio Gemüsekiste(ca. 5Kg);Bio Obst (ca. 5Kg) 8-10 Sorten mit Exoten;;;;;;;38185;51069;Köln;30
Bio Gemüsekiste(ca. 5Kg);Bio Obst (ca. 5Kg) 8-10 Sorten mit Exoten;;;;;;;38620;51069;Köln;30
Bio Gemüsekiste(ca. 5Kg);Bio Obst (ca. 5Kg) 8-10 Sorten mit Exoten;;;;;;;38889;51069;Köln;30
Bio Gemüsekiste(ca. 5Kg);Bio Obst (ca. 5Kg) 8-10 Sorten mit Exoten;;;;;;;39009;51069;Köln;30
Bio Gemüsekiste(ca. 5Kg);Bio Obst (ca. 5Kg) 8-10 Sorten mit Exoten;;;;;;;39113;51069;Köln;30
Bio Gemüsekiste(ca. 5Kg);Bio Obst (ca. 5Kg) 8-10 Sorten mit Exoten;;;;;;;39343;51069;Köln;30
Bio Gemüsekiste(ca. 5Kg);Bio Obst (ca. 5Kg) 8-10 Sorten mit Exoten;;;;;;;39519;51069;Köln;30
Bio Gemüsekiste(ca. 5Kg);Bio Obst (ca. 5Kg) 8-10 Sorten mit Exoten;;;;;;;39826;51069;Köln;30
Bio Gemüsekiste(ca. 5Kg);Bio Obst (ca. 5Kg) 8-10 Sorten mit Exoten;;;;;;;40267;51069;Köln;30
Bio Gemüsekiste(ca. 5Kg);Bio Obst (ca. 5Kg) 8-10 Sorten mit Exoten;;;;;;;42819;51069;Köln;30
Bio Gemüsekiste(ca. 5Kg);Bio Obst (ca. 5Kg) 8-10 Sorten mit Exoten;;;;;;;43352;51069;Köln;30
"Bio Obst &amp; Gemüse (ca. 5 kg)";Bio Obst (ca. 5Kg) 8-10 Sorten mit Exoten;;;;;;;38542;51069;Köln;30
Bio Obst (ca. 5Kg) 8-10 Sorten mit Exoten;Bio Gemüsekiste(ca. 5Kg);;;;;;;34394;51069;Köln;30
Bio Obst (ca. 5Kg) 8-10 Sorten mit Exoten;Bio Gemüsekiste(ca. 5Kg);;;;;;;37935;51069;Köln;30
"Abo Bauerntüte ""klassik""<br /><span style=""font-size:0.6em;"">1x im Monat / 2x im Monat / 4x im Monat</span> - 2x im Monat";;;;;;;;38354;50767;Köln;31
"Bauerntüte ""klassik""";;;;;;;;39241;40231;Düsseldorf;32
Bio Gemüsekiste(ca. 5Kg);Smoothiebox Mix (ca. 6 kg);"Bio Milchreis Spitzenreis <br /><span style=""font-size:0.6em;"">(500 g)</span>";;;;;;27576;50931;Köln;33
Bio Obst &  Gemüse (ca. 5 kg);;;;;;;;43822;40472;Düsseldorf;34
"Bauerntüte ""klassik""";;;;;;;;42298;50678;Köln;25
Bio Gemüsekiste(ca. 5Kg);;;;;;;;39966;50678;Köln;36
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;41776;50674;Köln;37
"Abo Obst &amp; Gemüse Bio (ca. 5Kg)1x im Monat / 2x im Monat / 4x im Monat - 2x im Monat";;;;;;;;43592;50937;Köln;38
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;27569;50825;Köln, Ehrenfeld;38
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;27662;50825;Köln, Ehrenfeld;38
Bio Gemüsekiste(ca. 5Kg);;;;;;;;39165;50937;Köln;39
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;38829;50937;Köln;40
Bio Obst &  Gemüse (ca. 5 kg);;;;;;;;39407;40597;Düsseldorf;41
Bio Gemüsekiste(ca. 5Kg);Bio Cranberries (100g);Bio H-Milch  3,5% berechtesgardener (1 L);;;;;;40165;50672;Köln;42
Bio Gemüsekiste(ca. 5Kg);Bio Obst (ca. 5Kg) 4-5 Sorten, direkt verzehrbar;;;;;;;41056;50933;Köln;43
Bio Gemüsekiste(ca. 5Kg);"Bauerntüte ""klassik""";;;;;;;38106;51147;Köln;44
Bio Gemüsekiste(ca. 5Kg);;;;;;;;38148;51147;Köln;44
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;41387;50733;Köln;45
"Abo Obst &amp; Gemüse Bio (ca. 5Kg)1x im Monat / 2x im Monat / 4x im Monat - 4x im Monat (wöchentlich)";;;;;;;;42608;51061;Köln;46
"Abo Obst &amp; Gemüse Bio (ca. 5Kg)1x im Monat / 2x im Monat / 4x im Monat - 4x im Monat (wöchentlich)";;;;;;;;43161;51061;Köln;46
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;41434;50825;Köln;47
Bio Obst &  Gemüse (ca. 5 kg);;;;;;;;39015;40474;Düsseldorf;48
Bio Gemüsekiste(ca. 5Kg);;;;;;;;40981;50769;Köln;49
Bio Gemüsekiste(ca. 5Kg);;;;;;;;38108;50933;Köln;50
Bio Gemüsekiste(ca. 5Kg);;;;;;;;38158;50933;Köln;50
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;43414;50931;Köln;51
"Abo Obst &amp; Gemüse Bio (ca. 5Kg)1x im Monat / 2x im Monat / 4x im Monat - 2x im Monat";;;;;;;;43456;50859;Köln;52
Bio Gemüsekiste(ca. 5Kg);Bio Obst (ca. 5Kg) 8-10 Sorten mit Exoten;;;;;;;41412;50968;Köln;53
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;38059;50733;Köln;54
"Abo Bauerntüte ""klassik"" - 4x im Monat (wöchentlich)";;;;;;;;41227;40474;Düsseldorf;55
"Bio Obst &amp; Gemüse (ca. 5 kg)";Bio Kidney Bohnen im Glas (330g);Rote Bete Bio Scheiben im Glas (370g);;;;;;41390;50825;Köln;56
"Bauerntüte ""klassik""";;;;;;;;39994;50937;Köln;57
"Abo Bauerntüte ""klassik""<br /><span style=""font-size:0.6em;"">1x im Monat / 2x im Monat / 4x im Monat</span> - 2x im Monat";;;;;;;;34593;51145;Köln porz eil;58
Bio Gemüsekiste(ca. 5Kg);;;;;;;;27625;56070;Köln;59
"Abo Obst &amp; Gemüse Bio (ca. 5Kg)1x im Monat / 2x im Monat / 4x im Monat - 4x im Monat (wöchentlich)";;;;;;;;27590;51147;Köln;60
"Abo Obst &amp; Gemüse Bio (ca. 5Kg)1x im Monat / 2x im Monat / 4x im Monat - 4x im Monat (wöchentlich)";;;;;;;;27611;51147;Köln;60
"Abo Obst &amp; Gemüse Bio (ca. 5Kg)1x im Monat / 2x im Monat / 4x im Monat - 4x im Monat (wöchentlich)";;;;;;;;27707;51147;Köln;60
"Abo Obst &amp; Gemüse Bio (ca. 5Kg)1x im Monat / 2x im Monat / 4x im Monat - 4x im Monat (wöchentlich)";;;;;;;;27753;51147;Köln;60
"Abo Obst &amp; Gemüse Bio (ca. 5Kg)1x im Monat / 2x im Monat / 4x im Monat - 4x im Monat (wöchentlich)";;;;;;;;27782;51147;Köln;60
"Abo Obst &amp; Gemüse Bio (ca. 5Kg)1x im Monat / 2x im Monat / 4x im Monat - 4x im Monat (wöchentlich)";;;;;;;;28022;51147;Köln;60
"Abo Obst &amp; Gemüse Bio (ca. 5Kg)1x im Monat / 2x im Monat / 4x im Monat - 4x im Monat (wöchentlich)";;;;;;;;28049;51147;Köln;60
"Abo Obst &amp; Gemüse Bio (ca. 5Kg)1x im Monat / 2x im Monat / 4x im Monat - 4x im Monat (wöchentlich)";;;;;;;;28246;51147;Köln;60
"Abo Obst &amp; Gemüse Bio (ca. 5Kg)1x im Monat / 2x im Monat / 4x im Monat - 4x im Monat (wöchentlich)";;;;;;;;28301;51147;Köln;60
"Abo Obst &amp; Gemüse Bio (ca. 5Kg)1x im Monat / 2x im Monat / 4x im Monat - 4x im Monat (wöchentlich)";;;;;;;;28340;51147;Köln;60
Bio Gemüsekiste(ca. 5Kg);Bio Obst (ca. 5Kg) 4-5 Sorten, direkt verzehrbar;;;;;;;41471;50933;Köln;61
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;40510;50823;Köln;62
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;42096;50823;Köln;62
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;42806;50823;Köln;62
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;43321;50823;Köln;62
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;43753;50823;Köln;62
"Abo Bauerntüte ""klassik"" - 2x im Monat";;;;;;;;42301;40223;Düsseldorf;63
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;43395;51063;Köln;64
"Abo Bauerntüte ""klassik""<br /><span style=""font-size:0.6em;"">1x im Monat / 2x im Monat / 4x im Monat</span> - 1x im Monat";;;;;;;;39292;51107;Köln;65
"Abo Bauerntüte ""klassik""<br /><span style=""font-size:0.6em;"">1x im Monat / 2x im Monat / 4x im Monat</span> - 1x im Monat";;;;;;;;39295;51107;Köln;65
"Abo Bauerntüte ""klassik""<br /><span style=""font-size:0.6em;"">1x im Monat / 2x im Monat / 4x im Monat</span> - 1x im Monat";;;;;;;;39570;51107;Köln;65
"Abo Bauerntüte ""klassik""<br /><span style=""font-size:0.6em;"">1x im Monat / 2x im Monat / 4x im Monat</span> - 1x im Monat";;;;;;;;39923;51107;Köln;65
"Abo Bauerntüte ""klassik""<br /><span style=""font-size:0.6em;"">1x im Monat / 2x im Monat / 4x im Monat</span> - 1x im Monat";;;;;;;;42657;51107;Köln;65
"Abo Bauerntüte ""klassik""<br /><span style=""font-size:0.6em;"">1x im Monat / 2x im Monat / 4x im Monat</span> - 1x im Monat";;;;;;;;42658;51107;Köln;65
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;37888;51109;Köln;66
"Bauerntüte ""klassik""";;;;;;;;40243;50996;Köln;67
"Bauerntüte ""klassik""";;;;;;;;41844;50859;Köln;68
Bio Obst &  Gemüse (ca. 5 kg);;;;;;;;28536;40597;Düsseldorf;69
"Abo Obst &amp; Gemüse Bio (ca. 5Kg)1x im Monat / 2x im Monat / 4x im Monat - 2x im Monat";;;;;;;;41744;50933;Köln;70
"Abo Obst &amp; Gemüse Bio (ca. 5Kg)1x im Monat / 2x im Monat / 4x im Monat - 2x im Monat";;;;;;;;41746;50933;Köln;70
"Abo Obst &amp; Gemüse Bio (ca. 5Kg)1x im Monat / 2x im Monat / 4x im Monat - 2x im Monat";;;;;;;;41748;50933;Köln;70
Bio Gemüsekiste(ca. 5Kg);;;;;;;;40462;50968;Köln;71
Bio Gemüsekiste(ca. 5Kg);;;;;;;;42209;51067;Köln;72
Bio Obst (ca. 5Kg) 4-5 Sorten, direkt verzehrbar;;;;;;;;34683;50823;Köln;73
"Bauerntüte ""klassik""";;;;;;;;43424;50674;Köln;74
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;41959;51107;Köln;75
